pointid,grid_code,Slope,Soil_depth,Curvature,Row,Col
137,4.647422790527344,0.8906563211164682,2.88633644108712,0.003962279490755601,8,58
138,6.141268730163574,2.5788638123461136,2.8819444903387206,0.0015667263964021373,8,59
139,7.311557292938232,1.442917233025273,2.878503807740371,0.00013321547930207817,8,60
140,6.981497287750244,1.8069153861032499,2.8794741938078627,0.0008873299636295888,8,61
141,5.917227745056152,2.3974965549356266,2.8826031773867666,0.0031403818740119004,8,62
142,6.824100971221924,7.745687097910532,2.879936943581337,0.00483233359058114,8,63
143,9.404932022094727,14.839035483319513,2.8723492248182265,0.00444566107217021,8,64
144,13.186725616455078,19.107602296161108,2.8612306410564443,0.002197907220069259,8,65
145,13.693506240844727,19.918189381027076,2.8597406912005012,0.0020063985048443538,8,66
146,12.08427906036377,16.06788844300548,2.8644718661711805,0.004564521961260818,8,67
147,8.360845565795898,8.274624152436411,2.8754188695328966,0.008527872508733055,8,68
148,10.656733512878418,16.04384488533871,2.868668891827775,0.008688244007241403,8,69
149,17.969520568847656,23.479167226901748,2.847169084028872,0.0014856616990958009,8,70
150,24.49625587463379,21.756666978239178,2.8279802913627194,-0.0051311700225019855,8,71
151,25.216962814331055,18.565017713802444,2.8258613918837336,-0.006680055158256818,8,72
152,20.406599044799805,19.348853505639052,2.8400040020399135,-0.003590331728120587,8,73
153,11.455757141113281,15.602903927960671,2.8663197389942043,0.002792403027474647,8,74
154,5.904675483703613,5.038725163620553,2.88264008140222,0.004739007133496461,8,75
155,6.2334208488464355,1.0899490293769174,2.881673560414906,0.0014486698520342718,8,76
156,6.7627339363098145,0.6702960473419753,2.8801173644585893,-0.0002448493490478241,8,77
157,5.601302623748779,0.9465338492877275,2.8835320064822905,0.0007120904763834716,8,78
158,6.3504462242126465,0.9465281034848471,2.881329502389052,-0.00047402765441062396,8,79
159,5.968588829040527,0.7391841041894749,2.8824521742978546,-0.000306056391441996,8,80
160,5.945033550262451,0.39856022558130105,2.88252142750631,6.621395083032645e-05,8,81
161,5.863544464111328,0.9738038638160303,2.8827610078026527,0.00023622672474432862,8,82
162,6.310052871704102,0.9398511427518421,2.881448260026686,-0.00017040676638347587,8,83
163,6.82196569442749,0.4168396745143295,2.879943221357556,-0.0006142998348105087,8,84
164,6.700826644897461,1.215990524923298,2.8802993737057516,-0.00014757869064442852,8,85
165,6.904290199279785,0.6831678286461863,2.8797011849058016,-0.0007478248602291963,8,86
166,6.199913501739502,2.344847400473695,2.881772072995286,-0.0009203971596534509,8,87
167,1.7485160827636719,3.980718710156804,2.8948593115832595,0.0013575943925870407,9,49
168,3.5338644981384277,4.989662610885041,2.889610335031522,0.002394043751561852,9,50
169,5.3336100578308105,9.60132186191468,2.8843190304544617,0.006050604805994215,9,51
170,10.268378257751465,19.16663989979211,2.8698106676348676,0.007275500715600252,9,52
171,18.163616180419922,25.31833115319333,2.8465984372547384,0.0022616840382946504,9,53
