created_at_utc,source,scenario,collection,band,creation_time,forecast_time,forecast_hours,accumulated_rainfall,duration,intensity,n_images,roi
2026-07-18T02:28:18Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T02:28:38Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T02:48:42Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T02:48:47Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T18:00:00+00:00,24,0.0,24,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T03:04:34Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T03:04:50Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T03:04:59Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T06:00:00+00:00,12,0.0,12,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T03:06:45Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T03:09:47Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T06:00:00+00:00,12,0.0,12,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T03:13:09Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
